folder,name,yellow_translation,black_translation,E,yield_stress,grid_v_damping_scale,rpic_damping,approach_velocity,approach_end,rebound_velocity,rebound_start,rebound_end
0000,same_lane_push_no_rebound,"[0.0, 0.0, 0.8]","[0.0, 0.0, 0.0]",1600000.0,40000000.0,0.998,0.1,-0.05,5.45,,,
0001,same_lane_push_tiny_release,"[0.0, 0.0, 0.8]","[0.0, 0.0, 0.0]",1200000.0,30000000.0,0.998,0.12,-0.048,5.25,0.006,5.35,5.45
0002,half_lane_offset_no_rebound,"[0.0, 0.0, 1.2]","[0.0, 0.0, 0.0]",800000.0,20000000.0,0.996,0.16,-0.046,5.55,,,
0003,half_lane_offset_tiny_release,"[0.0, 0.0, 1.2]","[0.0, 0.0, 0.0]",450000.0,12000000.0,0.996,0.2,-0.044,5.3,0.008,5.4,5.55
0004,same_lane_fastest_small_release,"[0.0, 0.0, 0.4]","[0.0, 0.0, 0.0]",2000000.0,50000000.0,0.998,0.08,-0.055,5.15,0.01,5.25,5.45
